,estuary,tidal_phase,best_C_k,calculated_C_k,error
0,Dee,spring,0.8286427728546842,0.8416458224203497,0.013003049565665448
1,Dee,spring,0.47148663634573945,0.4453280575403914,0.026158578805348054
2,Dee,spring,0.20235896477251575,0.17635562665842922,0.026003338114086533
3,Dee,spring,0.03727593720314938,0.08096380705446682,0.04368786985131744
4,Dee,spring,0.0,0.03421857967489118,0.03421857967489118
5,Dee,spring,0.0,0.019747861791601058,0.019747861791601058
6,Dee,spring,0.0,0.013054116884939387,0.013054116884939387
7,Dee,spring,0.0,0.009326082126060285,0.009326082126060285
8,Dee,neap,4.498432668969444,4.61224041964936,0.113807750679916
9,Dee,neap,3.39322177189533,3.087595331093631,0.3056264408016989
10,Dee,neap,1.4563484775012443,1.6736096094786854,0.21726113197744112
11,Dee,neap,0.8286427728546842,0.96899393068661,0.14035115783192575
12,Dee,neap,0.6250551925273969,0.5071635798516381,0.11789161267575887
13,Dee,neap,0.35564803062231287,0.3257820946290414,0.029865935993271475
14,Dee,neap,0.2682695795279725,0.22918428677084457,0.03908529275712791
15,Dee,neap,0.20235896477251575,0.1698995245361405,0.03245944023637526
16,Kent,spring,1.4563484775012443,1.4828149416849012,0.026466464183656946
17,Kent,spring,0.8286427728546842,0.8700039089737082,0.04136113611902392
18,Kent,spring,0.47148663634573945,0.4015579470076321,0.06992868933810736
19,Kent,spring,0.2682695795279725,0.21026103211880529,0.058008547409167194
20,Kent,spring,0.0,0.10311457992207787,0.10311457992207787
21,Kent,spring,0.0,0.06556126606362464,0.06556126606362464
22,Kent,spring,0.0,0.046667608471201785,0.046667608471201785
23,Kent,spring,0.0,0.03543117645944137,0.03543117645944137
24,Kent,neap,4.498432668969444,4.5957923843627855,0.09735971539334187
25,Kent,neap,3.39322177189533,3.0958748032636216,0.2973469686317083
26,Kent,neap,1.4563484775012443,1.7021977708747518,0.24584929337350747
27,Kent,neap,0.8286427728546842,1.0036621073524012,0.175019334497717
28,Kent,neap,0.6250551925273969,0.5409550154777841,0.08410017704961281
29,Kent,neap,0.47148663634573945,0.3564956238020486,0.11499101254369087
30,Kent,neap,0.35564803062231287,0.25686013150973386,0.09878789911257901
31,Kent,neap,0.2682695795279725,0.19485844555976195,0.07341113396821053
32,Leven,spring,1.9306977288832496,0.0,1.9306977288832496
33,Leven,spring,1.0985411419875573,0.0,1.0985411419875573
34,Leven,spring,0.6250551925273969,0.0,0.6250551925273969
35,Leven,spring,0.2682695795279725,0.0,0.2682695795279725
36,Leven,spring,0.0,0.0,0.0
37,Leven,spring,0.0,0.0,0.0
38,Leven,spring,0.0,0.0,0.0
39,Leven,spring,0.0,0.0,0.0
40,Leven,neap,5.963623316594637,5.807855618424013,0.15576769817062353
41,Leven,neap,3.39322177189533,3.7196572667046475,0.32643549480931755
42,Leven,neap,1.9306977288832496,1.8684662486512957,0.062231480231953906
43,Leven,neap,1.0985411419875573,1.000299223153114,0.09824191883444322
44,Leven,neap,0.6250551925273969,0.4697079155116539,0.15534727701574302
45,Leven,neap,0.35564803062231287,0.27682420628498716,0.07882382433732571
46,Leven,neap,0.20235896477251575,0.18036491639785748,0.021994048374658265
47,Leven,neap,0.0655128556859551,0.12443098612707813,0.05891813044112304
48,Lune,spring,0.2682695795279725,0.0,0.2682695795279725
49,Lune,spring,0.0,0.0,0.0
50,Lune,spring,0.0,0.0,0.0
51,Lune,spring,0.0,0.0,0.0
52,Lune,spring,0.0,0.0,0.0
53,Lune,spring,0.0,0.0,0.0
54,Lune,spring,0.0,0.0,0.0
55,Lune,spring,0.0,0.0,0.0
56,Lune,neap,1.9306977288832496,0.13259590971355964,1.79810181916969
57,Lune,neap,0.8286427728546842,0.08774576955522054,0.7408970032994637
58,Lune,neap,0.0,0.0387397644128304,0.0387397644128304
59,Lune,neap,0.0,0.01165173965833138,0.01165173965833138
60,Lune,neap,0.0,,
61,Lune,neap,0.0,,
62,Lune,neap,0.0,,
63,Lune,neap,0.0,,
64,Mersey,spring,0.0,-6.9539087e-317,6.9539087e-317
65,Mersey,spring,0.0,-6.3469086e-317,6.3469086e-317
66,Mersey,spring,0.0,-5.5445974e-317,5.5445974e-317
67,Mersey,spring,0.0,-4.937756e-317,4.937756e-317
68,Mersey,spring,0.0,-4.3309967e-317,4.3309967e-317
69,Mersey,spring,0.0,-3.976108e-317,3.976108e-317
70,Mersey,spring,0.0,-3.724332e-317,3.724332e-317
71,Mersey,spring,0.0,-3.529051e-317,3.529051e-317
72,Mersey,neap,10.481131341546853,10.57901523234165,0.09788389079479742
73,Mersey,neap,4.498432668969444,4.087234556539329,0.4111981124301147
74,Mersey,neap,0.2682695795279725,0.9013230722043984,0.633053492676426
75,Mersey,neap,0.0,0.21618055299705696,0.21618055299705696
76,Mersey,neap,0.0,0.034954575819753905,0.034954575819753905
77,Mersey,neap,0.0,0.009003371564674748,0.009003371564674748
78,Mersey,neap,0.0,0.0028098466237718575,0.0028098466237718575
79,Mersey,neap,0.0,0.0009646092608138089,0.0009646092608138089
80,Ribble,spring,0.35564803062231287,3.543771981734937e-58,0.35564803062231287
81,Ribble,spring,0.20235896477251575,3.2915709018941164e-58,0.20235896477251575
82,Ribble,spring,0.0655128556859551,2.958351779984957e-58,0.0655128556859551
83,Ribble,spring,0.0,2.7064238831220635e-58,2.7064238831220635e-58
84,Ribble,spring,0.0,2.4546313376759297e-58,2.4546313376759297e-58
85,Ribble,spring,0.0,2.307410264541915e-58,2.307410264541915e-58
86,Ribble,spring,0.0,2.2029879052866513e-58,2.2029879052866513e-58
87,Ribble,spring,0.0,2.122011218528959e-58,2.122011218528959e-58
88,Ribble,neap,7.9060432109077015,7.687176022349128,0.21886718855857357
89,Ribble,neap,4.498432668969444,4.922894259970665,0.4244615910012213
90,Ribble,neap,2.559547922699533,2.517829762247108,0.041718160452425046
91,Ribble,neap,1.4563484775012443,1.3994122415852952,0.056936235915949096
92,Ribble,neap,0.8286427728546842,0.7085452378296011,0.12009753502508314
93,Ribble,neap,0.6250551925273969,0.44969667231937416,0.17535852020802278
94,Ribble,neap,0.47148663634573945,0.31547218934658317,0.1560144469991563
95,Ribble,neap,0.35564803062231287,0.2344904666122388,0.12115756401007408
96,Wyre,spring,0.0,0.0,0.0
97,Wyre,spring,0.0,0.0,0.0
98,Wyre,spring,0.0,0.0,0.0
99,Wyre,spring,0.0,0.0,0.0
100,Wyre,spring,0.0,0.0,0.0
101,Wyre,spring,0.0,0.0,0.0
102,Wyre,spring,0.0,0.0,0.0
103,Wyre,spring,0.0,0.0,0.0
104,Wyre,neap,0.1151395399326447,0.0,0.1151395399326447
105,Wyre,neap,0.0,0.0,0.0
106,Wyre,neap,0.0,0.0,0.0
107,Wyre,neap,0.0,-0.0,0.0
108,Wyre,neap,0.0,-0.0,0.0
109,Wyre,neap,0.0,-0.0,0.0
110,Wyre,neap,0.0,-0.0,0.0
111,Wyre,neap,0.0,-0.0,0.0
112,Duddon,spring,0.35564803062231287,0.0,0.35564803062231287
113,Duddon,spring,0.20235896477251575,0.0,0.20235896477251575
114,Duddon,spring,0.0655128556859551,0.0,0.0655128556859551
115,Duddon,spring,0.0,0.0,0.0
116,Duddon,spring,0.0,0.0,0.0
117,Duddon,spring,0.0,0.0,0.0
118,Duddon,spring,0.0,0.0,0.0
119,Duddon,spring,0.0,0.0,0.0
120,Duddon,neap,0.8286427728546842,0.8425322759751361,0.013889503120451896
121,Duddon,neap,0.47148663634573945,0.4362712539117927,0.03521538243394673
122,Duddon,neap,0.15264179671752334,0.1550684958098915,0.0024266990923681453
123,Duddon,neap,0.009102981779915217,0.059308380065068736,0.05020539828515352
124,Duddon,neap,0.0,0.017875383868638555,0.017875383868638555
125,Duddon,neap,0.0,0.007496290901126307,0.007496290901126307
126,Duddon,neap,0.0,0.0036236695601912696,0.0036236695601912696
127,Duddon,neap,0.0,0.0018921314287090735,0.0018921314287090735
